sep=,
TIME,CH0,
00:26:18,1.738525,
00:26:18,1.737540,
00:26:18,1.738525,
00:26:19,1.738525,
00:26:19,1.737540,
00:26:20,1.736555,
00:26:20,1.737540,
00:26:20,1.737540,
00:26:20,1.738525,
00:26:21,1.738525,
00:26:21,1.740495,
00:26:21,1.738525,
00:26:22,1.740495,
00:26:22,1.740495,
00:26:22,1.738525,
00:26:23,1.738525,
00:26:23,1.737540,
00:26:23,1.739510,
00:26:24,1.740495,
00:26:24,1.740495,
00:26:24,1.739510,
00:26:25,1.738525,
00:26:25,1.740495,
00:26:25,1.741480,
00:26:26,1.741480,
00:26:26,1.738525,
00:26:27,1.739510,
00:26:27,1.740495,
00:26:27,1.740495,
00:26:27,1.738525,
00:26:28,1.739510,
00:26:28,1.740495,
00:26:28,1.739510,
00:26:28,1.738525,
00:26:28,1.738525,
00:26:29,1.738525,
00:26:29,1.737540,
00:26:29,1.741480,
00:26:30,1.741480,
00:26:30,1.738525,
00:26:30,1.738525,
00:26:30,1.739510,
00:26:30,1.741480,
00:26:31,1.741480,
00:26:31,1.740495,
00:26:31,1.741480,
00:26:32,1.740495,
00:26:32,1.740495,
00:26:32,1.740495,
00:26:33,1.739510,
00:26:33,1.742465,
00:26:33,1.744435,
00:26:34,1.744435,
00:26:34,1.744435,
00:26:34,1.743450,
00:26:35,1.742465,
00:26:35,1.742465,
00:26:35,1.743450,
00:26:35,1.744435,
00:26:36,1.743450,
00:26:36,1.745420,
00:26:36,1.743450,
00:26:36,1.742465,
00:26:37,1.741480,
00:26:37,1.738525,
00:26:37,1.740495,
00:26:38,1.741480,
00:26:38,1.740495,
00:26:38,1.739510,
00:26:38,1.739510,
00:26:39,1.737540,
00:26:39,1.737540,
00:26:39,1.738525,
00:26:40,1.738525,
00:26:40,1.736555,
00:26:40,1.736555,
00:26:41,1.735570,
00:26:41,1.735570,
00:26:41,1.735570,
00:26:41,1.737540,
00:26:41,1.739510,
00:26:42,1.738525,
00:26:42,1.737540,
00:26:42,1.737540,
00:26:42,1.738525,
00:26:42,1.738525,
00:26:43,1.736555,
00:26:43,1.739510,
00:26:43,1.739510,
00:26:43,1.739510,
00:26:43,1.738525,
00:26:44,1.740495,
00:26:44,1.740495,
00:26:44,1.739510,
00:26:44,1.739510,
00:26:44,1.738525,
00:26:45,1.740495,
00:26:45,1.741480,
00:26:45,1.739510,
00:26:45,1.739510,
00:26:46,1.741480,
00:26:46,1.740495,
00:26:46,1.739510,
00:26:46,1.739510,
00:26:47,1.737540,
00:26:47,1.739510,
00:26:47,1.740495,
00:26:47,1.739510,
00:26:47,1.737540,
00:26:48,1.738525,
00:26:48,1.738525,
00:26:48,1.737540,
00:26:48,1.737540,
00:26:49,1.737540,
00:26:49,1.737540,
00:26:49,1.736555,
00:26:49,1.737540,
00:26:49,1.736555,
00:26:50,1.735570,
00:26:50,1.736555,
00:26:50,1.736555,
00:26:50,1.738525,
00:26:50,1.737540,
00:26:51,1.736555,
00:26:51,1.735570,
00:26:51,1.736555,
00:26:51,1.737540,
00:26:52,1.736555,
00:26:52,1.735570,
00:26:52,1.735570,
00:26:52,1.736555,
00:26:53,1.738525,
00:26:53,1.737540,
00:26:53,1.738525,
00:26:53,1.741480,
00:26:53,1.741480,
00:26:54,1.740495,
00:26:54,1.742465,
00:26:54,1.740495,
00:26:54,1.740495,
00:26:55,1.738525,
00:26:55,1.741480,
00:26:55,1.739510,
00:26:55,1.736555,
00:26:56,1.735570,
00:26:56,1.735570,
00:26:56,1.735570,
00:26:56,1.737540,
00:26:56,1.738525,
00:26:57,1.738525,
00:26:57,1.737540,
00:26:57,1.738525,
00:26:58,1.739510,
00:26:58,1.741480,
00:26:58,1.738525,
00:26:58,1.739510,
00:26:58,1.739510,
00:26:59,1.740495,
00:26:59,1.740495,
00:26:59,1.741480,
00:26:59,1.738525,
00:26:59,1.738525,
00:27:00,1.739510,
00:27:00,1.737540,
00:27:00,1.739510,
00:27:00,1.739510,
00:27:00,1.739510,
00:27:01,1.739510,
00:27:01,1.739510,
00:27:01,1.739510,
00:27:01,1.738525,
00:27:01,1.740495,
00:27:02,1.741480,
00:27:02,1.743450,
00:27:02,1.740495,
00:27:02,1.740495,
00:27:02,1.740495,
00:27:03,1.741480,
00:27:03,1.742465,
00:27:03,1.740495,
00:27:03,1.740495,
00:27:03,1.741480,
00:27:04,1.740495,
00:27:04,1.739510,
00:27:04,1.739510,
00:27:04,1.739510,
00:27:05,1.741480,
00:27:05,1.741480,
00:27:05,1.741480,
00:27:05,1.740495,
00:27:05,1.738525,
00:27:06,1.740495,
00:27:06,1.739510,
00:27:06,1.739510,
00:27:06,1.739510,
00:27:06,1.737540,
00:27:07,1.737540,
00:27:07,1.738525,
00:27:07,1.739510,
00:27:07,1.738525,
00:27:07,1.737540,
00:27:08,1.737540,
00:27:08,1.739510,
00:27:08,1.738525,
00:27:08,1.739510,
00:27:08,1.741480,
00:27:09,1.739510,
00:27:09,1.739510,
00:27:09,1.738525,
00:27:09,1.739510,
00:27:09,1.742465,
00:27:10,1.740495,
00:27:10,1.740495,
00:27:10,1.739510,
00:27:10,1.738525,
00:27:10,1.736555,
00:27:11,1.737540,
00:27:11,1.739510,
00:27:11,1.740495,
00:27:11,1.738525,
00:27:11,1.739510,
00:27:12,1.739510,
00:27:12,1.739510,
00:27:12,1.738525,
00:27:12,1.738525,
00:27:12,1.740495,
00:27:13,1.738525,
00:27:13,1.738525,
00:27:13,1.738525,
00:27:13,1.739510,
00:27:13,1.740495,
00:27:14,1.738525,
00:27:14,1.738525,
00:27:14,1.738525,
00:27:14,1.737540,
00:27:14,1.737540,
00:27:15,1.738525,
00:27:15,1.738525,
00:27:15,1.739510,
00:27:15,1.740495,
00:27:15,1.736555,
00:27:16,1.736555,
00:27:16,1.736555,
00:27:16,1.737540,
00:27:16,1.736555,
00:27:16,1.735570,
00:27:17,1.734585,
00:27:17,1.734585,
00:27:17,1.735570,
00:27:18,1.735570,
00:27:18,1.736555,
00:27:18,1.738525,
00:27:18,1.739510,
00:27:19,1.737540,
00:27:19,1.738525,
00:27:19,1.737540,
00:27:19,1.738525,
00:27:20,1.736555,
00:27:20,1.738525,
00:27:20,1.739510,
00:27:20,1.738525,
00:27:21,1.738525,
00:27:21,1.739510,
00:27:21,1.737540,
00:27:21,1.737540,
00:27:22,1.738525,
00:27:22,1.739510,
00:27:22,1.740495,
00:27:23,1.741480,
00:27:23,1.740495,
00:27:23,1.739510,
00:27:23,1.741480,
00:27:24,1.741480,
00:27:24,1.742465,
00:27:24,1.740495,
00:27:24,1.739510,
00:27:24,1.739510,
00:27:25,1.739510,
00:27:25,1.741480,
00:27:25,1.741480,
00:27:25,1.739510,
00:27:26,1.739510,
00:27:26,1.738525,
00:27:26,1.740495,
00:27:26,1.739510,
00:27:26,1.739510,
00:27:27,1.740495,
00:27:27,1.742465,
00:27:27,1.742465,
00:27:27,1.742465,
00:27:28,1.740495,
00:27:28,1.739510,
00:27:28,1.741480,
00:27:28,1.739510,
00:27:28,1.738525,
00:27:29,1.739510,
00:27:29,1.738525,
00:27:29,1.738525,
00:27:29,1.738525,
00:27:29,1.740495,
00:27:30,1.739510,
00:27:30,1.738525,
00:27:30,1.739510,
00:27:30,1.740495,
00:27:30,1.739510,
00:27:31,1.739510,
00:27:31,1.740495,
00:27:31,1.739510,
00:27:31,1.741480,
00:27:32,1.740495,
00:27:32,1.740495,
00:27:32,1.739510,
00:27:32,1.740495,
00:27:33,1.741480,
00:27:33,1.741480,
00:27:33,1.742465,
00:27:34,1.741480,
00:27:34,1.741480,
00:27:35,1.743450,
00:27:35,1.742465,
00:27:35,1.742465,
00:27:35,1.744435,
00:27:35,1.741480,
00:27:36,1.741480,
00:27:36,1.742465,
00:27:36,1.744435,
00:27:37,1.743450,
00:27:37,1.742465,
00:27:37,1.741480,
00:27:38,1.743450,
00:27:38,1.744435,
00:27:38,1.745420,
00:27:39,1.743450,
00:27:39,1.744435,
00:27:39,1.742465,
00:27:40,1.741480,
00:27:40,1.743450,
00:27:40,1.741480,
00:27:40,1.742465,
00:27:41,1.743450,
00:27:41,1.741480,
00:27:42,1.741480,
00:27:42,1.742465,
00:27:43,1.741480,
00:27:43,1.742465,
00:27:43,1.741480,
00:27:44,1.741480,
00:27:44,1.741480,
00:27:44,1.741480,
00:27:45,1.739510,
00:27:45,1.742465,
00:27:45,1.741480,
00:27:46,1.743450,
00:27:46,1.743450,
00:27:46,1.741480,
00:27:47,1.741480,
00:27:47,1.743450,
00:27:48,1.742465,
00:27:48,1.743450,
00:27:48,1.742465,
00:27:49,1.741480,
00:27:50,1.741480,
00:27:50,1.741480,
00:27:50,1.740495,
